districtid,timeid,dose1,dose2
NL_Peren,1,17497.0,5597.0
NL_Phek,1,29328.0,9612.0
NL_Tuensang,1,34634.0,9496.0
NL_Wokha,1,32634.0,12015.0
NL_Zunheboto,1,35944.0,7950.0
OR_Balasore,1,689420.0,264589.0
OR_Bargarh,1,428881.0,109536.0
OR_Bhadrak,1,543316.0,125676.0
OR_Boudh,1,133566.0,28351.0
OR_Cuttack,1,930295.0,284638.0
OR_Deogarh,1,117016.0,22971.0
OR_Dhenkanal,1,419475.0,93532.0
OR_Gajapati,1,196970.0,43736.0
OR_Ganjam,1,1516454.0,468809.0
OR_Jagatsinghpur,1,323687.0,119052.0
OR_Jajpur,1,542859.0,149573.0
OR_Jharsuguda,1,254837.0,56059.0
OR_Kalahandi,1,461519.0,123538.0
OR_Kandhamal,1,226470.0,56560.0
OR_Kendrapara,1,490467.0,133965.0
OR_Kendujhar,1,567179.0,122056.0
OR_Khordha,1,1492206.0,1010751.0
OR_Koraput,1,522845.0,122770.0
OR_Malkangiri,1,178852.0,36420.0
OR_Mayurbhanj,1,660631.0,161227.0
OR_Nabarangapur,1,340015.0,58839.0
OR_Nayagarh,1,321607.0,83092.0
OR_Nuapada,1,270910.0,43368.0
OR_Puri,1,668750.0,166003.0
OR_Rayagada,1,329634.0,69022.0
OR_Sambalpur,1,535273.0,111778.0
OR_Subarnapur,1,239736.0,50193.0
OR_Sundargarh,1,689061.0,182855.0
PB_Bathinda,1,299373.0,86420.0
PB_Faridkot,1,168040.0,55432.0
PB_Fatehgarh Sahib,1,193007.0,40954.0
PB_Fazilka,1,197864.0,48339.0
PB_Ferozepur,1,181325.0,46378.0
PB_Gurdaspur,1,522149.0,187547.0
PB_Hoshiarpur,1,727070.0,235989.0
PB_Jalandhar,1,814817.0,285628.0
PB_Kapurthala,1,232695.0,78780.0
PB_Ludhiana,1,1208461.0,385499.0
PB_Mansa,1,135381.0,30975.0
PB_Moga,1,237374.0,54243.0
PB_Pathankot,1,274125.0,87770.0
PB_Patiala,1,570089.0,159553.0
PB_Rupnagar,1,223007.0,50352.0
PB_S.A.S. Nagar,1,640534.0,195695.0
PB_Sangrur,1,299555.0,80397.0
PB_Shahid Bhagat Singh Nagar,1,212785.0,68475.0
PB_Sri Muktsar Sahib,1,250136.0,54258.0
PB_Tarn Taran,1,256804.0,59903.0
PY_Puducherry,1,462735.0,119497.0
PY_Yanam,1,26594.0,5148.0
RJ_Banswara,1,724958.0,194414.0
RJ_Baran,1,488924.0,127621.0
RJ_Barmer,1,998839.0,289458.0
RJ_Bharatpur,1,968677.0,244845.0
RJ_Bhilwara,1,960891.0,282707.0
RJ_Bikaner,1,1001520.0,355014.0
RJ_Bundi,1,490895.0,160437.0
RJ_Chittorgarh,1,645139.0,186085.0
RJ_Churu,1,820466.0,246032.0
RJ_Dausa,1,681733.0,142232.0
RJ_Dholpur,1,487653.0,122868.0
RJ_Dungarpur,1,540083.0,138927.0
RJ_Ganganagar,1,741884.0,266998.0
RJ_Hanumangarh,1,717963.0,213975.0
RJ_Jaipur,1,2946433.0,1014322.0
RJ_Jaisalmer,1,282413.0,80076.0
RJ_Jalore,1,717677.0,175918.0
RJ_Jhalawar,1,613985.0,140399.0
RJ_Jhunjhunu,1,952847.0,347869.0
RJ_Jodhpur,1,1542099.0,560446.0
RJ_Karauli,1,589562.0,142698.0
RJ_Kota,1,892276.0,325307.0
RJ_Nagaur,1,1369731.0,558048.0
RJ_Pali,1,800049.0,258411.0
RJ_Pratapgarh,1,382915.0,79262.0
RJ_Rajsamand,1,479121.0,114933.0
RJ_Sawai Madhopur,1,541702.0,140678.0
RJ_Sikar,1,1178809.0,444674.0
RJ_Sirohi,1,429580.0,141766.0
RJ_Tonk,1,617382.0,169068.0
