districtid,timeid,dose1,dose2
BR_Katihar,5,87260.0,1144.0
BR_Katihar,6,159232.0,14053.0
BR_Katihar,7,234212.0,36384.0
BR_Khagaria,1,7394.0,370.0
BR_Khagaria,2,8900.0,4543.0
BR_Khagaria,3,49325.0,4747.0
BR_Khagaria,4,35506.0,12705.0
BR_Khagaria,5,36891.0,1160.0
BR_Khagaria,6,69780.0,7747.0
BR_Khagaria,7,158969.0,25512.0
BR_Kishanganj,1,9004.0,159.0
BR_Kishanganj,2,10462.0,5307.0
BR_Kishanganj,3,42521.0,7312.0
BR_Kishanganj,4,28236.0,14640.0
BR_Kishanganj,5,44865.0,670.0
BR_Kishanganj,6,86645.0,4997.0
BR_Kishanganj,7,114789.0,17806.0
BR_Lakhisarai,1,3972.0,157.0
BR_Lakhisarai,2,4830.0,2232.0
BR_Lakhisarai,3,24840.0,3235.0
BR_Lakhisarai,4,18761.0,7178.0
BR_Lakhisarai,5,24876.0,571.0
BR_Lakhisarai,6,56872.0,5640.0
BR_Lakhisarai,7,86884.0,14917.0
BR_Madhepura,1,10117.0,370.0
BR_Madhepura,2,12482.0,5870.0
BR_Madhepura,3,63427.0,5371.0
BR_Madhepura,4,49054.0,15353.0
BR_Madhepura,5,46183.0,1601.0
BR_Madhepura,6,75282.0,10015.0
BR_Madhepura,7,157022.0,31759.0
BR_Madhubani,1,15248.0,735.0
BR_Madhubani,2,27002.0,11104.0
BR_Madhubani,3,135360.0,12736.0
BR_Madhubani,4,107382.0,52454.0
BR_Madhubani,5,116095.0,1806.0
BR_Madhubani,6,249923.0,15816.0
BR_Madhubani,7,297965.0,92332.0
BR_Munger,1,8191.0,60.0
BR_Munger,2,7477.0,5013.0
BR_Munger,3,54355.0,5965.0
BR_Munger,4,26377.0,16646.0
BR_Munger,5,42315.0,996.0
BR_Munger,6,104659.0,12126.0
BR_Munger,7,138691.0,23645.0
BR_Muzaffarpur,1,21483.0,456.0
BR_Muzaffarpur,2,15771.0,12302.0
BR_Muzaffarpur,3,128887.0,10228.0
BR_Muzaffarpur,4,113891.0,35415.0
BR_Muzaffarpur,5,146981.0,4803.0
BR_Muzaffarpur,6,296352.0,54649.0
BR_Muzaffarpur,7,344335.0,77621.0
BR_Nalanda,1,15285.0,581.0
BR_Nalanda,2,18388.0,10388.0
BR_Nalanda,3,147354.0,11120.0
BR_Nalanda,4,75958.0,35590.0
BR_Nalanda,5,80828.0,2236.0
BR_Nalanda,6,222179.0,40772.0
BR_Nalanda,7,209790.0,69146.0
BR_Nawada,1,8528.0,383.0
BR_Nawada,2,14220.0,4932.0
BR_Nawada,3,84814.0,8131.0
BR_Nawada,4,38692.0,24817.0
BR_Nawada,5,56790.0,1284.0
BR_Nawada,6,96684.0,15422.0
BR_Nawada,7,187598.0,29614.0
BR_Patna,1,49621.0,858.0
BR_Patna,2,76498.0,27124.0
BR_Patna,3,264279.0,47557.0
BR_Patna,4,199827.0,113329.0
BR_Patna,5,394599.0,121934.0
BR_Patna,6,676214.0,174006.0
BR_Patna,7,849109.0,379557.0
BR_Purnia,1,12682.0,384.0
BR_Purnia,2,14617.0,7479.0
BR_Purnia,3,119747.0,7045.0
BR_Purnia,4,102398.0,33937.0
BR_Purnia,5,130087.0,4588.0
BR_Purnia,6,213583.0,36273.0
BR_Purnia,7,236486.0,73566.0
BR_Rohtas,1,12431.0,627.0
BR_Rohtas,2,16357.0,7202.0
BR_Rohtas,3,103791.0,9114.0
BR_Rohtas,4,54518.0,27884.0
BR_Rohtas,5,84405.0,1520.0
BR_Rohtas,6,151651.0,16328.0
BR_Rohtas,7,250074.0,47371.0
BR_Saharsa,1,7507.0,237.0
BR_Saharsa,2,10176.0,4456.0
BR_Saharsa,3,63244.0,4772.0
BR_Saharsa,4,58389.0,21158.0
BR_Saharsa,5,54122.0,1653.0
BR_Saharsa,6,100314.0,11173.0
BR_Saharsa,7,132140.0,34030.0
BR_Samastipur,1,19409.0,738.0
